x,y,z,real,imag,mag
8,-15,3,1.83999e-31,0,3.38558e-62
10,-15,3,1.34005e-31,0,1.79573e-62
12,-15,3,1.02347e-31,0,1.0475e-62
14,-15,3,7.4867e-32,0,5.60506e-63
16,-15,3,4.02587e-32,0,1.62076e-63
18,-15,3,5.23492e-32,0,2.74044e-63
-18,-15,6,6.2639e-32,0,3.92365e-63
-16,-15,6,8.65959e-32,0,7.49885e-63
-14,-15,6,1.07473e-31,0,1.15505e-62
-12,-15,6,1.1479e-31,0,1.31767e-62
-10,-15,6,1.5454e-31,0,2.38827e-62
-8,-15,6,1.69532e-31,0,2.87411e-62
-6,-15,6,1.98611e-31,0,3.94461e-62
-4,-15,6,1.99977e-31,0,3.99906e-62
-2,-15,6,2.32252e-31,0,5.3941e-62
0,-15,6,2.38573e-31,0,5.69172e-62
2,-15,6,2.40841e-31,0,5.80043e-62
4,-15,6,1.8563e-31,0,3.44584e-62
6,-15,6,2.22979e-31,0,4.97196e-62
8,-15,6,1.09955e-31,0,1.209e-62
10,-15,6,1.41301e-31,0,1.99661e-62
12,-15,6,7.60976e-32,0,5.79084e-63
14,-15,6,6.4687e-32,0,4.18441e-63
16,-15,6,3.38881e-32,0,1.1484e-63
18,-15,6,3.91461e-32,0,1.53242e-63
-18,-15,9,4.30556e-32,0,1.85378e-63
-16,-15,9,5.48713e-32,0,3.01086e-63
-14,-15,9,6.12635e-32,0,3.75322e-63
-12,-15,9,1.0144e-31,0,1.029e-62
-10,-15,9,8.11303e-32,0,6.58213e-63
-8,-15,9,1.2373e-31,0,1.53092e-62
-6,-15,9,1.32866e-31,0,1.76534e-62
-4,-15,9,1.54832e-31,0,2.39729e-62
-2,-15,9,1.56217e-31,0,2.44038e-62
0,-15,9,1.63401e-31,0,2.66997e-62
2,-15,9,1.77525e-31,0,3.1515e-62
4,-15,9,1.45941e-31,0,2.12988e-62
6,-15,9,1.16064e-31,0,1.34708e-62
8,-15,9,1.31276e-31,0,1.72335e-62
10,-15,9,4.07838e-32,0,1.66332e-63
12,-15,9,8.74339e-32,0,7.64468e-63
14,-15,9,3.83329e-32,0,1.46941e-63
16,-15,9,2.95267e-32,0,8.71825e-64
18,-15,9,2.15391e-32,0,4.63931e-64
-18,-15,12,2.40438e-32,0,5.78104e-64
-16,-15,12,1.77716e-32,0,3.1583e-64
-14,-15,12,7.43531e-32,0,5.52839e-63
-12,-15,12,7.87011e-32,0,6.19386e-63
-10,-15,12,6.3194e-32,0,3.99349e-63
-8,-15,12,4.99399e-32,0,2.49399e-63
-6,-15,12,1.11967e-31,0,1.25365e-62
-4,-15,12,1.30824e-31,0,1.7115e-62
-2,-15,12,1.1026e-31,0,1.21573e-62
0,-15,12,9.29256e-32,0,8.63516e-63
2,-15,12,7.46455e-32,0,5.57196e-63
4,-15,12,7.25369e-32,0,5.2616e-63
6,-15,12,6.18733e-32,0,3.82831e-63
8,-15,12,9.14686e-32,0,8.36651e-63
10,-15,12,6.57478e-32,0,4.32278e-63
12,-15,12,1.27832e-32,0,1.63411e-64
14,-15,12,2.28389e-32,0,5.21615e-64
16,-15,12,1.15259e-32,0,1.32846e-64
18,-15,12,1.04512e-32,0,1.09227e-64
-18,-15,15,4.09669e-33,0,1.67829e-65
-16,-15,15,1.25851e-33,0,1.58384e-66
-14,-15,15,-3.2302e-32,0,1.04342e-63
-12,-15,15,-3.41088e-32,0,1.16341e-63
-10,-15,15,3.77146e-33,0,1.42239e-65
-8,-15,15,1.99155e-32,0,3.96625e-64
-6,-15,15,-3.78011e-32,0,1.42892e-63
-4,-15,15,-2.44855e-32,0,5.99539e-64
-2,-15,15,-2.71921e-32,0,7.39409e-64
0,-15,15,2.094e-33,0,4.38485e-66
2,-15,15,9.33514e-33,0,8.71448e-65
4,-15,15,9.73314e-33,0,9.47341e-65
6,-15,15,1.11373e-32,0,1.24039e-64
8,-15,15,-2.1889e-32,0,4.79126e-64
10,-15,15,-1.10401e-32,0,1.21885e-64
12,-15,15,1.64994e-33,0,2.72229e-66
14,-15,15,8.17704e-33,0,6.6864e-65
16,-15,15,1.96618e-33,0,3.86586e-66
18,-15,15,3.51224e-33,0,1.23358e-65
-18,15,-15,-8.6074e-33,0,7.40873e-65
-16,15,-15,4.46111e-33,0,1.99015e-65
-14,15,-15,3.7134e-33,0,1.37894e-65
-12,15,-15,1.87182e-32,0,3.50372e-64
-10,15,-15,1.03721e-32,0,1.0758e-64
-8,15,-15,5.84356e-33,0,3.41472e-65
-6,15,-15,-4.39309e-32,0,1.92992e-63
-4,15,-15,2.75653e-32,0,7.59847e-64
-2,15,-15,6.05692e-33,0,3.66863e-65
0,15,-15,1.09527e-32,0,1.19962e-64
2,15,-15,3.27404e-32,0,1.07193e-63
4,15,-15,-1.00338e-33,0,1.00678e-66
6,15,-15,5.56478e-33,0,3.09668e-65
8,15,-15,2.41491e-32,0,5.83177e-64
10,15,-15,-2.82502e-32,0,7.98077e-64
12,15,-15,-9.84503e-33,0,9.69246e-65
14,15,-15,-6.30075e-33,0,3.96994e-65
16,15,-15,1.82405e-33,0,3.32715e-66
18,15,-15,3.43434e-33,0,1.17947e-65
-18,15,-12,2.91355e-32,0,8.48879e-64
-16,15,-12,2.75736e-32,0,7.60302e-64
-14,15,-12,1.14321e-32,0,1.30693e-64
-12,15,-12,3.84629e-32,0,1.4794e-63
-10,15,-12,5.12463e-32,0,2.62618e-63
-8,15,-12,7.27802e-32,0,5.29695e-63
-6,15,-12,1.1522e-31,0,1.32756e-62
-4,15,-12,8.80433e-32,0,7.75162e-63
-2,15,-12,5.79936e-32,0,3.36326e-63
0,15,-12,1.0722e-31,0,1.14961e-62
2,15,-12,7.43076e-32,0,5.52162e-63
4,15,-12,1.0273e-31,0,1.05534e-62
